codigo proyecto,nombre proyecto,mes presupuesto,partida presupuesto,monto presupuesto
PRY-014,Equipamiento de laboratorio,Febrero 2026,Software y licencias,63558.75
PRY-021,Optimización energética,Julio 2026,Comunicación y marketing,82852.75
PRY-003,Implementación de CRM,Diciembre 2026,Personal,63021.75
PRY-011,Expansión de almacenes,Mayo 2026,Software y licencias,83565.75
PRY-018,Apertura de sede sur,Octubre 2026,Comunicación y marketing,102859.75
PRY-025,Resiliencia y continuidad operativa,Marzo 2026,Contingencias,122153.75
PRY-007,Optimización de cadena de suministro,Agosto 2026,Servicios profesionales,101447.75
PRY-014,Equipamiento de laboratorio,Enero 2026,Transporte,120741.75
PRY-021,Optimización energética,Junio 2026,Mantenimiento,18535.75
PRY-003,Implementación de CRM,Noviembre 2026,Equipamiento,119329.75
PRY-010,Plan de seguridad operativa,Abril 2026,Materiales,17123.75
PRY-017,Mantenimiento de flota,Septiembre 2026,Capacitación,36417.75
PRY-024,Gestión documental,Febrero 2026,Personal,46961.75
PRY-006,Campaña de posicionamiento regional,Julio 2026,Software y licencias,35005.75
PRY-013,Programa de sostenibilidad,Diciembre 2026,Comunicación y marketing,54299.75
PRY-020,Actualización de marca,Mayo 2026,Contingencias,73593.75
PRY-002,Modernización de planta norte,Octubre 2026,Servicios profesionales,52887.75
PRY-009,Desarrollo de portal web,Marzo 2026,Transporte,72181.75
PRY-016,Rediseño de experiencia móvil,Agosto 2026,Mantenimiento,91475.75
PRY-023,Renovación de puntos de venta,Enero 2026,Equipamiento,102019.75
PRY-005,Renovación de infraestructura TI,Julio 2026,Materiales,90063.75
PRY-012,Automatización de reportes,Diciembre 2026,Capacitación,109357.75
PRY-020,Actualización de marca,Mayo 2026,Personal,121151.75
PRY-002,Modernización de planta norte,Octubre 2026,Software y licencias,109195.75
PRY-009,Desarrollo de portal web,Marzo 2026,Comunicación y marketing,6989.75
PRY-016,Rediseño de experiencia móvil,Agosto 2026,Personal,18408.75
PRY-023,Renovación de puntos de venta,Enero 2026,Software y licencias,37702.75
PRY-005,Renovación de infraestructura TI,Junio 2026,Comunicación y marketing,25746.75
PRY-012,Automatización de reportes,Noviembre 2026,Contingencias,45040.75
PRY-019,Proyecto de analítica avanzada,Abril 2026,Servicios profesionales,55584.75
PRY-001,Ampliación de oficina central,Septiembre 2026,Transporte,43628.75
PRY-008,Centro de atención al cliente,Febrero 2026,Mantenimiento,62922.75
PRY-015,Migración de datos corporativos,Julio 2026,Equipamiento,73466.75
PRY-022,Programa de fidelización,Diciembre 2026,Materiales,92760.75
PRY-004,Programa de capacitación comercial,Mayo 2026,Capacitación,80804.75
PRY-011,Expansión de almacenes,Octubre 2026,Personal,91348.75
PRY-018,Apertura de sede sur,Marzo 2026,Software y licencias,110642.75
PRY-025,Resiliencia y continuidad operativa,Agosto 2026,Comunicación y marketing,8436.75
PRY-007,Optimización de cadena de suministro,Enero 2026,Contingencias,117980.75
PRY-014,Equipamiento de laboratorio,Junio 2026,Servicios profesionales,7024.75
PRY-021,Optimización energética,Noviembre 2026,Transporte,26318.75
PRY-004,Programa de capacitación comercial,Abril 2026,Mantenimiento,15612.75
PRY-011,Expansión de almacenes,Septiembre 2026,Equipamiento,26156.75
PRY-018,Apertura de sede sur,Febrero 2026,Materiales,45450.75
PRY-025,Resiliencia y continuidad operativa,Julio 2026,Capacitación,64744.75
PRY-007,Optimización de cadena de suministro,Diciembre 2026,Personal,44038.75
PRY-014,Equipamiento de laboratorio,Mayo 2026,Software y licencias,63332.75
PRY-021,Optimización energética,Octubre 2026,Comunicación y marketing,82626.75
PRY-003,Implementación de CRM,Marzo 2026,Personal,62795.75
PRY-010,Plan de seguridad operativa,Agosto 2026,Software y licencias,82089.75
PRY-017,Mantenimiento de flota,Enero 2026,Comunicación y marketing,101383.75
PRY-024,Gestión documental,Junio 2026,Contingencias,120677.75
PRY-006,Campaña de posicionamiento regional,Noviembre 2026,Servicios profesionales,99971.75
PRY-013,Programa de sostenibilidad,Abril 2026,Transporte,119265.75
PRY-020,Actualización de marca,Septiembre 2026,Mantenimiento,17059.75
PRY-002,Modernización de planta norte,Febrero 2026,Equipamiento,117853.75
PRY-009,Desarrollo de portal web,Julio 2026,Materiales,15647.75
PRY-016,Rediseño de experiencia móvil,Enero 2026,Capacitación,34941.75
PRY-023,Renovación de puntos de venta,Junio 2026,Personal,45485.75
PRY-005,Renovación de infraestructura TI,Noviembre 2026,Software y licencias,33529.75
PRY-013,Programa de sostenibilidad,Abril 2026,Comunicación y marketing,54073.75
PRY-020,Actualización de marca,Septiembre 2026,Contingencias,73367.75
PRY-002,Modernización de planta norte,Febrero 2026,Servicios profesionales,52661.75
PRY-009,Desarrollo de portal web,Julio 2026,Transporte,71955.75
PRY-016,Rediseño de experiencia móvil,Diciembre 2026,Mantenimiento,91249.75
PRY-023,Renovación de puntos de venta,Mayo 2026,Equipamiento,101793.75
PRY-005,Renovación de infraestructura TI,Octubre 2026,Materiales,89837.75
PRY-012,Automatización de reportes,Marzo 2026,Capacitación,109131.75
PRY-019,Proyecto de analítica avanzada,Agosto 2026,Personal,119675.75
PRY-001,Ampliación de oficina central,Enero 2026,Software y licencias,107719.75
PRY-008,Centro de atención al cliente,Junio 2026,Comunicación y marketing,5513.75
PRY-015,Migración de datos corporativos,Noviembre 2026,Personal,16932.75
PRY-022,Programa de fidelización,Abril 2026,Software y licencias,36226.75
PRY-004,Programa de capacitación comercial,Septiembre 2026,Comunicación y marketing,24270.75
PRY-011,Expansión de almacenes,Febrero 2026,Contingencias,43564.75
PRY-018,Apertura de sede sur,Julio 2026,Servicios profesionales,54108.75
PRY-025,Resiliencia y continuidad operativa,Diciembre 2026,Transporte,73402.75
PRY-007,Optimización de cadena de suministro,Mayo 2026,Mantenimiento,61446.75
PRY-014,Equipamiento de laboratorio,Octubre 2026,Equipamiento,71990.75
PRY-022,Programa de fidelización,Marzo 2026,Materiales,92534.75
PRY-004,Programa de capacitación comercial,Agosto 2026,Capacitación,80578.75
PRY-011,Expansión de almacenes,Enero 2026,Personal,91122.75
PRY-018,Apertura de sede sur,Junio 2026,Software y licencias,110416.75
PRY-025,Resiliencia y continuidad operativa,Noviembre 2026,Comunicación y marketing,8210.75
PRY-007,Optimización de cadena de suministro,Abril 2026,Contingencias,117754.75
PRY-014,Equipamiento de laboratorio,Septiembre 2026,Servicios profesionales,6798.75
PRY-021,Optimización energética,Febrero 2026,Transporte,26092.75
PRY-003,Implementación de CRM,Julio 2026,Mantenimiento,14136.75
PRY-010,Plan de seguridad operativa,Diciembre 2026,Equipamiento,24680.75
PRY-017,Mantenimiento de flota,Mayo 2026,Materiales,43974.75
PRY-024,Gestión documental,Octubre 2026,Capacitación,63268.75
PRY-006,Campaña de posicionamiento regional,Marzo 2026,Personal,42562.75
PRY-013,Programa de sostenibilidad,Agosto 2026,Software y licencias,61856.75
PRY-020,Actualización de marca,Enero 2026,Comunicación y marketing,81150.75
PRY-002,Modernización de planta norte,Julio 2026,Personal,61319.75
PRY-009,Desarrollo de portal web,Diciembre 2026,Software y licencias,80613.75
PRY-016,Rediseño de experiencia móvil,Mayo 2026,Comunicación y marketing,99907.75
PRY-023,Renovación de puntos de venta,Octubre 2026,Contingencias,119201.75
PRY-006,Campaña de posicionamiento regional,Marzo 2026,Servicios profesionales,99745.75
PRY-013,Programa de sostenibilidad,Agosto 2026,Transporte,119039.75
PRY-020,Actualización de marca,Enero 2026,Mantenimiento,16833.75
PRY-002,Modernización de planta norte,Junio 2026,Equipamiento,117627.75
PRY-009,Desarrollo de portal web,Noviembre 2026,Materiales,15421.75
PRY-016,Rediseño de experiencia móvil,Abril 2026,Capacitación,34715.75
PRY-023,Renovación de puntos de venta,Septiembre 2026,Personal,45259.75
PRY-005,Renovación de infraestructura TI,Febrero 2026,Software y licencias,33303.75
PRY-012,Automatización de reportes,Julio 2026,Comunicación y marketing,52597.75
PRY-019,Proyecto de analítica avanzada,Diciembre 2026,Contingencias,71891.75
PRY-001,Ampliación de oficina central,Mayo 2026,Servicios profesionales,51185.75
PRY-008,Centro de atención al cliente,Octubre 2026,Transporte,70479.75
PRY-015,Migración de datos corporativos,Marzo 2026,Mantenimiento,89773.75
PRY-022,Programa de fidelización,Agosto 2026,Equipamiento,100317.75
PRY-004,Programa de capacitación comercial,Enero 2026,Materiales,88361.75
PRY-011,Expansión de almacenes,Junio 2026,Capacitación,107655.75
PRY-018,Apertura de sede sur,Noviembre 2026,Personal,118199.75
PRY-025,Resiliencia y continuidad operativa,Abril 2026,Software y licencias,15993.75
PRY-007,Optimización de cadena de suministro,Septiembre 2026,Comunicación y marketing,4037.75
PRY-015,Migración de datos corporativos,Febrero 2026,Personal,16706.75
PRY-022,Programa de fidelización,Julio 2026,Software y licencias,36000.75
PRY-004,Programa de capacitación comercial,Diciembre 2026,Comunicación y marketing,24044.75
PRY-011,Expansión de almacenes,Mayo 2026,Contingencias,43338.75
PRY-018,Apertura de sede sur,Octubre 2026,Servicios profesionales,53882.75
PRY-025,Resiliencia y continuidad operativa,Marzo 2026,Transporte,73176.75
PRY-007,Optimización de cadena de suministro,Agosto 2026,Mantenimiento,61220.75
PRY-014,Equipamiento de laboratorio,Enero 2026,Equipamiento,71764.75
PRY-021,Optimización energética,Junio 2026,Materiales,91058.75
PRY-003,Implementación de CRM,Noviembre 2026,Capacitación,79102.75
PRY-010,Plan de seguridad operativa,Abril 2026,Personal,89646.75
PRY-017,Mantenimiento de flota,Septiembre 2026,Software y licencias,108940.75
PRY-024,Gestión documental,Febrero 2026,Comunicación y marketing,6734.75
PRY-006,Campaña de posicionamiento regional,Julio 2026,Contingencias,116278.75
PRY-013,Programa de sostenibilidad,Enero 2026,Servicios profesionales,5322.75
PRY-020,Actualización de marca,Junio 2026,Transporte,24616.75
PRY-002,Modernización de planta norte,Noviembre 2026,Mantenimiento,12660.75
PRY-009,Desarrollo de portal web,Abril 2026,Equipamiento,23204.75
PRY-016,Rediseño de experiencia móvil,Septiembre 2026,Materiales,42498.75
PRY-024,Gestión documental,Febrero 2026,Capacitación,63042.75
PRY-006,Campaña de posicionamiento regional,Julio 2026,Personal,42336.75
PRY-013,Programa de sostenibilidad,Diciembre 2026,Software y licencias,61630.75
PRY-020,Actualización de marca,Mayo 2026,Comunicación y marketing,80924.75
PRY-002,Modernización de planta norte,Octubre 2026,Personal,61093.75
PRY-009,Desarrollo de portal web,Marzo 2026,Software y licencias,80387.75
PRY-016,Rediseño de experiencia móvil,Agosto 2026,Comunicación y marketing,99681.75
PRY-023,Renovación de puntos de venta,Enero 2026,Contingencias,118975.75
PRY-005,Renovación de infraestructura TI,Junio 2026,Servicios profesionales,98269.75
PRY-012,Automatización de reportes,Noviembre 2026,Transporte,117563.75
PRY-019,Proyecto de analítica avanzada,Abril 2026,Mantenimiento,15357.75
PRY-001,Ampliación de oficina central,Septiembre 2026,Equipamiento,116151.75
PRY-008,Centro de atención al cliente,Febrero 2026,Materiales,13945.75
PRY-015,Migración de datos corporativos,Julio 2026,Capacitación,33239.75
PRY-022,Programa de fidelización,Diciembre 2026,Personal,43783.75
PRY-004,Programa de capacitación comercial,Mayo 2026,Software y licencias,31827.75
PRY-011,Expansión de almacenes,Octubre 2026,Comunicación y marketing,51121.75
PRY-018,Apertura de sede sur,Marzo 2026,Contingencias,70415.75
PRY-025,Resiliencia y continuidad operativa,Agosto 2026,Servicios profesionales,80959.75
PRY-008,Centro de atención al cliente,Enero 2026,Transporte,70253.75
PRY-015,Migración de datos corporativos,Junio 2026,Mantenimiento,89547.75
PRY-022,Programa de fidelización,Noviembre 2026,Equipamiento,100091.75
PRY-004,Programa de capacitación comercial,Abril 2026,Materiales,88135.75
PRY-011,Expansión de almacenes,Septiembre 2026,Capacitación,107429.75
PRY-018,Apertura de sede sur,Febrero 2026,Personal,117973.75
PRY-025,Resiliencia y continuidad operativa,Julio 2026,Software y licencias,15767.75
PRY-007,Optimización de cadena de suministro,Diciembre 2026,Comunicación y marketing,3811.75
PRY-014,Equipamiento de laboratorio,Mayo 2026,Personal,15230.75
PRY-021,Optimización energética,Octubre 2026,Software y licencias,34524.75
PRY-003,Implementación de CRM,Marzo 2026,Comunicación y marketing,22568.75
PRY-010,Plan de seguridad operativa,Agosto 2026,Contingencias,41862.75
PRY-017,Mantenimiento de flota,Enero 2026,Servicios profesionales,52406.75
PRY-024,Gestión documental,Julio 2026,Transporte,71700.75
PRY-006,Campaña de posicionamiento regional,Diciembre 2026,Mantenimiento,59744.75
PRY-013,Programa de sostenibilidad,Mayo 2026,Equipamiento,70288.75
PRY-020,Actualización de marca,Octubre 2026,Materiales,89582.75
PRY-002,Modernización de planta norte,Marzo 2026,Capacitación,77626.75
PRY-009,Desarrollo de portal web,Agosto 2026,Personal,88170.75
PRY-017,Mantenimiento de flota,Enero 2026,Software y licencias,108714.75
PRY-024,Gestión documental,Junio 2026,Comunicación y marketing,6508.75
PRY-006,Campaña de posicionamiento regional,Noviembre 2026,Contingencias,116052.75
PRY-013,Programa de sostenibilidad,Abril 2026,Servicios profesionales,5096.75
PRY-020,Actualización de marca,Septiembre 2026,Transporte,24390.75
PRY-002,Modernización de planta norte,Febrero 2026,Mantenimiento,12434.75
PRY-009,Desarrollo de portal web,Julio 2026,Equipamiento,22978.75
PRY-016,Rediseño de experiencia móvil,Diciembre 2026,Materiales,42272.75
PRY-023,Renovación de puntos de venta,Mayo 2026,Capacitación,61566.75
PRY-005,Renovación de infraestructura TI,Octubre 2026,Personal,40860.75
PRY-012,Automatización de reportes,Marzo 2026,Software y licencias,60154.75
PRY-019,Proyecto de analítica avanzada,Agosto 2026,Comunicación y marketing,79448.75
PRY-001,Ampliación de oficina central,Enero 2026,Personal,59617.75
PRY-008,Centro de atención al cliente,Junio 2026,Software y licencias,78911.75
PRY-015,Migración de datos corporativos,Noviembre 2026,Comunicación y marketing,98205.75
PRY-022,Programa de fidelización,Abril 2026,Contingencias,117499.75
PRY-004,Programa de capacitación comercial,Septiembre 2026,Servicios profesionales,96793.75
PRY-011,Expansión de almacenes,Febrero 2026,Transporte,116087.75
PRY-018,Apertura de sede sur,Julio 2026,Mantenimiento,13881.75
PRY-001,Ampliación de oficina central,Diciembre 2026,Equipamiento,115925.75
PRY-008,Centro de atención al cliente,Mayo 2026,Materiales,13719.75
PRY-015,Migración de datos corporativos,Octubre 2026,Capacitación,33013.75
PRY-022,Programa de fidelización,Marzo 2026,Personal,43557.75
PRY-004,Programa de capacitación comercial,Agosto 2026,Software y licencias,31601.75
PRY-011,Expansión de almacenes,Enero 2026,Comunicación y marketing,50895.75
PRY-018,Apertura de sede sur,Junio 2026,Contingencias,70189.75
PRY-025,Resiliencia y continuidad operativa,Noviembre 2026,Servicios profesionales,80733.75
PRY-007,Optimización de cadena de suministro,Abril 2026,Transporte,68777.75
PRY-014,Equipamiento de laboratorio,Septiembre 2026,Mantenimiento,88071.75
PRY-021,Optimización energética,Febrero 2026,Equipamiento,98615.75
PRY-003,Implementación de CRM,Julio 2026,Materiales,86659.75
PRY-010,Plan de seguridad operativa,Enero 2026,Capacitación,105953.75
PRY-017,Mantenimiento de flota,Junio 2026,Personal,116497.75
PRY-024,Gestión documental,Noviembre 2026,Software y licencias,14291.75
PRY-006,Campaña de posicionamiento regional,Abril 2026,Comunicación y marketing,123835.75
PRY-013,Programa de sostenibilidad,Septiembre 2026,Personal,13754.75
PRY-020,Actualización de marca,Febrero 2026,Software y licencias,33048.75
PRY-002,Modernización de planta norte,Julio 2026,Comunicación y marketing,21092.75
PRY-010,Plan de seguridad operativa,Diciembre 2026,Contingencias,41636.75
PRY-017,Mantenimiento de flota,Mayo 2026,Servicios profesionales,52180.75
PRY-024,Gestión documental,Octubre 2026,Transporte,71474.75
PRY-006,Campaña de posicionamiento regional,Marzo 2026,Mantenimiento,59518.75
PRY-013,Programa de sostenibilidad,Agosto 2026,Equipamiento,70062.75
PRY-020,Actualización de marca,Enero 2026,Materiales,89356.75
PRY-002,Modernización de planta norte,Junio 2026,Capacitación,77400.75
PRY-009,Desarrollo de portal web,Noviembre 2026,Personal,87944.75
PRY-016,Rediseño de experiencia móvil,Abril 2026,Software y licencias,107238.75
PRY-023,Renovación de puntos de venta,Septiembre 2026,Comunicación y marketing,5032.75
PRY-005,Renovación de infraestructura TI,Febrero 2026,Contingencias,114576.75
PRY-012,Automatización de reportes,Julio 2026,Servicios profesionales,3620.75
PRY-019,Proyecto de analítica avanzada,Diciembre 2026,Transporte,22914.75
PRY-001,Ampliación de oficina central,Mayo 2026,Mantenimiento,10958.75
PRY-008,Centro de atención al cliente,Octubre 2026,Equipamiento,21502.75
PRY-015,Migración de datos corporativos,Marzo 2026,Materiales,40796.75
PRY-022,Programa de fidelización,Agosto 2026,Capacitación,60090.75
PRY-004,Programa de capacitación comercial,Enero 2026,Personal,39384.75
PRY-011,Expansión de almacenes,Junio 2026,Software y licencias,58678.75
PRY-019,Proyecto de analítica avanzada,Noviembre 2026,Comunicación y marketing,79222.75
PRY-001,Ampliación de oficina central,Abril 2026,Personal,59391.75
PRY-008,Centro de atención al cliente,Septiembre 2026,Software y licencias,78685.75
PRY-015,Migración de datos corporativos,Febrero 2026,Comunicación y marketing,97979.75
PRY-022,Programa de fidelización,Julio 2026,Contingencias,117273.75
PRY-004,Programa de capacitación comercial,Diciembre 2026,Servicios profesionales,96567.75
PRY-011,Expansión de almacenes,Mayo 2026,Transporte,115861.75
PRY-018,Apertura de sede sur,Octubre 2026,Mantenimiento,13655.75
PRY-025,Resiliencia y continuidad operativa,Marzo 2026,Equipamiento,24199.75
PRY-007,Optimización de cadena de suministro,Agosto 2026,Materiales,12243.75
PRY-014,Equipamiento de laboratorio,Enero 2026,Capacitación,31537.75
PRY-021,Optimización energética,Julio 2026,Personal,42081.75
